ref_number,first_author,year,ref_doi,ref_year,title,journal,symptom_type,n_fnd,n_control,ref_unstructured
27,Akyuz,2004,10.1684/j.1950-6945.2004.tb00068.x,2004,Dissociation and childhood abuse history in epileptic and pseudoseizure patients,Epileptic Disorders,Non-epileptic seizures,33,30 epilepsy,"Akyuz G, Kugu N, Akyuz A, Dogan O. Dissociation and childhood abuse history in epileptic and pseudoseizure patients. Epileptic Disord 2004; 6: 187-92."
28,Almis,2013,10.1016/j.comppsych.2012.12.027,2013,The neuropsychological and neurophysiological profile of women with pseudoseizure,Comprehensive Psychiatry,Non-epileptic seizures,22,22 healthy,"Almis BH, Cumurcu BE, Unal S, Ozcan AC, Aytas O. The neuropsychological and neurophysiological profile of women with pseudoseizure. Compr Psychiatry 2013; 54: 649-57."
29,Alper,1993,10.1212/WNL.43.10.1950,1993,Nonepileptic seizures and childhood sexual and physical abuse,Neurology,Non-epileptic seizures,57,140 epilepsy,"Alper K, Devinsky O, Perrine K, Vazquez B, Luciano D. Nonepileptic seizures and childhood sexual and physical abuse. Neurology 1993; 43: 1950-53."
30,Arnold,1996,10.1016/S0033-3182(96)71531-1,1996,Psychopathology and trauma in epileptic and psychogenic seizure patients,Psychosomatics,Non-epileptic seizures,14,27 epilepsy,"Arnold LM, Privitera MD. Psychopathology and trauma in epileptic and psychogenic seizure patients. Psychosomatics 1996; 37: 438-43."
31,Baker,2012,10.3109/17549507.2012.721397,2012,Psychosocial risk factors which may differentiate between women with functional voice disorder organic voice disorder and a control group,International Journal of Speech-Language Pathology,Functional voice disorder,73,"55 disease, 66 healthy","Baker J, Ben-Tovim D, Butcher A, Esterman A, McLaughlin K. Psychosocial risk factors which may differentiate between women with functional voice disorder, organic voice disorder and a control group. Int J Speech Lang Pathol 2012; 15: 1-17."
32,Bakvis,2009,10.1016/j.yebeh.2004.09.002,2009,Trauma stress and preconscious threat processing in patients with psychogenic nonepileptic seizures,Epilepsia,Non-epileptic seizures,19,20 healthy,"Bakvis P, Roelofs K, Kuyk J, Edelbroek PM, Swinkels WA, Spinhoven P. Trauma, stress, and preconscious threat processing in patients with psychogenic nonepileptic seizures. Epilepsia 2009; 50: 1001-11."
33,Barnett,1971,10.2190/GH08-7MVF-JEYY-88KF,1971,Conversion reactions and psychophysiologic disorders: a comparative study,Psychiatry in Medicine,Functional neurological disorder,46,63 psychophysiologic,Barnett C. Conversion reactions and psychophysiologic disorders: a comparative study. Psychiatry Med 1971; 2: 205-20.
34,Berkhoff,1998,10.1111/j.1528-1157.1998.tb01406.x,1998,Developmental background and outcome in patients with nonepileptic versus epileptic seizures: a controlled study,Epilepsia,Non-epileptic seizures,10,10 epilepsy,"Berkhoff M, Briellmann RS, Radanov BP, Donati F, Hess CW. Developmental background and outcome in patients with nonepileptic versus epileptic seizures: a controlled study. Epilepsia 1998; 39: 463-69."
35,Betts,1992,10.1016/1059-1311(92)90050-B,1992,Diagnosis management and prognosis of a group of 128 patients with non-epileptic attack disorder. Part I,Seizure,Non-epileptic seizures,96,"87 psychiatry, 132 epilepsy","Betts T, Boden S. Diagnosis, management and prognosis of a group of 128 patients with non-epileptic attack disorder. Part I. Seizure 1992; 1: 19-26."
36,Binzer,1998,10.1111/j.1600-0447.1998.tb10086.x,1998,Childhood experiences and personality traits in patients with motor conversion symptoms,Acta Psychiatrica Scandinavica,Functional motor disorder,30,30 neurology,"Binzer M, Eisemann M. Childhood experiences and personality traits in patients with motor conversion symptoms. Acta Psychiatr Scand 1998; 98: 288-95."
37,Binzer,2004,10.1016/S1059-1311(03)00184-5,2004,Recent onset pseudoseizures - clues to aetiology,Seizure,Non-epileptic seizures,20,20 epilepsy,"Binzer M, Stone J, Sharpe M. Recent onset pseudoseizures - clues to aetiology. Seizure 2004; 13: 146-55."
38,Chabrol,1995,10.1016/0924-9338(96)80314-2,1995,Lack of specificity of the traditional criteria for conversion disorders,European Psychiatry,Functional neurological disorder,15,40 neurology,"Chabrol H, Peresson G, Clanet M. Lack of specificity of the traditional criteria for conversion disorders. Eur Psychiatry 1995; 10: 317-19."
39,Dikel,2003,10.1684/j.1950-6945.2004.tb00068.x,2003,Posttraumatic stress disorder dissociation and sexual abuse history in epileptic and nonepileptic seizure patients,Epilepsy and Behavior,Non-epileptic seizures,17,34 epilepsy,"Dikel TN, Fennell EB, Gilmore RL. Posttraumatic stress disorder, dissociation, and sexual abuse history in epileptic and nonepileptic seizure patients. Epilepsy Behav 2003; 4: 644-50."
40,House,1988,10.1016/0022-3999(88)90073-6,1988,Life events and difficulties preceding the onset of functional dysphonia,Journal of Psychosomatic Research,Functional voice disorder,56,382 healthy,"House AO, Andrews HB. Life events and difficulties preceding the onset of functional dysphonia. J Psychosom Res 1988; 32: 311-19."
41,Jawad,1995,10.1016/S1059-1311(05)80061-5,1995,Psychiatric morbidity and psychodynamics of patients with convulsive pseudoseizures,Seizure,Non-epileptic seizures,46,50 psychiatry,"Jawad SS, Jamil N, Clarke EJ, Lewis A, Whitecross S, Richens A. Psychiatric morbidity and psychodynamics of patients with convulsive pseudoseizures. Seizure 1995; 4: 201-06."
42,Kaplan,2013,10.1016/j.jpsychores.2013.06.005,2013,Comparisons of childhood trauma alexithymia and defensive styles in patients with psychogenic non-epileptic seizures vs epilepsy: implications for the etiology of conversion disorder,Journal of Psychosomatic Research,Non-epileptic seizures,91,81 epilepsy,"Kaplan MJ, Dwivedi AK, Privitera MD, Isaacs K, Hughes C, Bowman M. Comparisons of childhood trauma, alexithymia, and defensive styles in patients with psychogenic non-epileptic seizures vs. epilepsy: implications for the etiology of conversion disorder. J Psychosom Res 2013; 75: 142-46."
43,Kozlowska,2011,10.1097/PSY.0b013e3182361e12,2011,Patterns of emotional-cognitive functioning in pediatric conversion patients: implications for the conceptualization of conversion disorders,Psychosomatic Medicine,Functional neurological disorder,76,76 healthy,"Kozlowska K, Scher S, Williams LM. Patterns of emotional-cognitive functioning in pediatric conversion patients: implications for the conceptualization of conversion disorders. Psychosom Med 2011; 73: 775-88."
44,Kranick,2011,10.1002/mds.23830,2011,Psychopathology and psychogenic movement disorders,Movement Disorders,Functional motor disorder,64,"39 neurology, 39 healthy","Kranick S, Ekanayake V, Martinez V, Ameli R, Hallett M, Voon V. Psychopathology and psychogenic movement disorders. Mov Disord 2011; 26: 1844-50."
45,Kuyk,1999,10.1097/00005053-199912000-00002,1999,Dissociation in temporal lobe epilepsy and pseudo-epileptic seizure patients,Journal of Nervous and Mental Disease,Non-epileptic seizures,27,"47 temporal lobe epilepsy, 25 non-temporal lobe epilepsy","Kuyk J, Spinhoven P, van Emde Boas W, van Dyck R. Dissociation in temporal lobe epilepsy and pseudo-epileptic seizure patients. J Nerv Ment Dis 1999; 187: 713-20."
46,Litwin,2000,10.1300/J229v01n04_06,2000,Demographic and seizure variables but not hypnotizability or dissociation differentiated psychogenic from organic seizures,Journal of Trauma and Dissociation,Non-epileptic seizures,10,31 epilepsy,"Litwin R, Cardena E. Demographic and seizure variables, but not hypnotizability or dissociation, differentiated psychogenic from organic seizures. J Trauma Dissociation 2000; 1: 99-122."
47,McDade,1992,10.1016/1059-1311(92)90047-5,1992,Non-epileptic seizures: management and predictive factors of outcome,Seizure,Non-epileptic seizures,18,18 epilepsy,"McDade G, Brown SW. Non-epileptic seizures: management and predictive factors of outcome. Seizure 1992; 1: 7-10."
48,Mokleby,2002,10.1046/j.1528-1157.2002.20901.x,2002,Psychiatric comorbidity and hostility in patients with psychogenic nonepileptic seizures compared with somatoform disorders and healthy controls,Epilepsia,Non-epileptic seizures,23,"23 psychiatry, 23 healthy","Mokleby K, Blomhoff S, Malt UF, Dahlstrom A, Tauboell E, Gjerstad L. Psychiatric comorbidity and hostility in patients with psychogenic nonepileptic seizures compared with somatoform disorders and healthy controls. Epilepsia 2002; 43: 193-98."
49,Nicholson,2016,10.1017/S0033291716000714,2016,Life events and escape in conversion disorder,Psychological Medicine,Functional motor disorder,43,"28 psychiatry, 28 healthy","Nicholson TR, Aybek S, Craig T, et al. Life events and escape in conversion disorder. Psychol Med 2016; 46: 2617-26."
50,Ozcetin,2009,10.3109/08039480903029728,2009,Childhood trauma and dissociation in women with pseudoseizure-type conversion disorder,Nordic Journal of Psychiatry,Non-epileptic seizures,56,59 healthy,"Ozcetin A, Belli H, Ertem U, Bahcebasi T, Ataoglu A, Canan F. Childhood trauma and dissociation in women with pseudoseizure-type conversion disorder. Nord J Psychiatry 2009; 63: 462-68."
51,Plioplys,2014,10.1111/epi.12773,2014,A multisite controlled study of risk factors in pediatric psychogenic nonepileptic seizures,Epilepsia,Non-epileptic seizures,55,35 healthy,"Plioplys S, Doss J, Siddarth P, et al. A multisite controlled study of risk factors in pediatric psychogenic nonepileptic seizures. Epilepsia 2014; 55: 1739-47."
52,Proenca,2011,10.1111/j.1528-1167.2008.01862.x,2011,Emotional trauma and abuse in patients with psychogenic nonepileptic seizures,Epilepsy and Behavior,Non-epileptic seizures,20,20 epilepsy,"Proenca IC, Castro LH, Jorge CL, Marchetti RL. Emotional trauma and abuse in patients with psychogenic nonepileptic seizures. Epilepsy Behav 2011; 20: 331-33."
53,Reilly,1999,10.1017/S0033291798007892,1999,The association of sexual and physical abuse with somatization: characteristics of patients presenting with irritable bowel syndrome and non-epileptic attack disorder,Psychological Medicine,Non-epileptic seizures,40,"40 IBS, 40 epilepsy","Reilly J, Baker GA, Rhodes J, Salmon P. The association of sexual and physical abuse with somatization: characteristics of patients presenting with irritable bowel syndrome and non-epileptic attack disorder. Psychol Med 1999; 29: 399-406."
54;55,Roelofs,2002,10.1176/appi.ajp.159.11.1908,2002,Childhood abuse in patients with conversion disorder,American Journal of Psychiatry,Functional neurological disorder,54,50 psychiatry,"Roelofs K, Keijsers GP, Hoogduin KA, Naring GW, Moene FC. Childhood abuse in patients with conversion disorder. Am J Psychiatry 2002; 159: 1908-13. / Roelofs K, Spinhoven P, Sandijck P, Moene FC, Hoogduin KA. The impact of early trauma and recent life-events on symptom severity in patients with conversion disorder. J Nerv Ment Dis 2005; 193: 508-14."
