record_id1,record_id2,title1,title2,author1,author2,year1,year2,doi1,doi2,title_sim,author_sim,abstract_sim,doi_sim,journal_sim,conflict_type,decision
pubmed:38391279,wos:WOS:001176466700001,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,MOULODI NASRIN; SARRAFZADEH JAVAD; AZADINIA FATEMEH; SHAKOURIRAD ALI; JALALI MARYAM,"MOULODI, NASRIN; SARRAFZADEH, JAVAD; AZADINIA, FATEMEH; SHAKOURIRAD, ALI; JALALI, MARYAM",2025,2025,10.1080/09593985.2024.2316309,10.1080/09593985.2024.2316309,1.0,0.9886,0.8283,1.0,1.0,,merge (default)
pubmed:38391279,scopus:85186464689,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,MOULODI NASRIN; SARRAFZADEH JAVAD; AZADINIA FATEMEH; SHAKOURIRAD ALI; JALALI MARYAM,MOULODI N ; SARRAFZADEH J ; AZADINIA F ; SHAKOURIRAD A ; JALALI M,2025,2025,10.1080/09593985.2024.2316309,10.1080/09593985.2024.2316309,1.0,0.856,0.8322,1.0,1.0,,merge (default)
pubmed:38391279,europepmc:38391279,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,MOULODI NASRIN; SARRAFZADEH JAVAD; AZADINIA FATEMEH; SHAKOURIRAD ALI; JALALI MARYAM,MOULODI N; SARRAFZADEH J; AZADINIA F; SHAKOURIRAD A; JALALI M,2025,2025,10.1080/09593985.2024.2316309,10.1080/09593985.2024.2316309,1.0,0.865,0.8345,1.0,1.0,,merge (default)
pubmed:10219407,wos:WOS:000079812700011,MR LINE SCAN DIFFUSION IMAGING OF THE BRAIN IN CHILDREN,MR LINE SCAN DIFFUSION IMAGING OF THE BRAIN IN CHILDREN,ROBERTSON R L; MAIER S E; ROBSON C D; MULKERN R V; KARAS P M; BARNES P D,"ROBERTSON, RL; MAIER, SE; ROBSON, CD; MULKERN, RV; KARAS, PM; BARNES, PD",1999,1999,,,1.0,0.8909,0.8363,0.0,0.8491,,merge (default)
pubmed:22279703,scopus:80755125912,FUNCTIONAL VISUAL LOSS IN AN ISRAELI PEDIATRIC POPULATION,FUNCTIONAL VISUAL LOSS IN AN ISRAELI PEDIATRIC POPULATION,KINORI MICHAEL; WYGNANSKI-JAFFE TAMARA; HUNA-BARON RUTH,KINORI M ; WYGNANSKI-JAFFE T ; HUNA-BARON R,2011,2011,,,1.0,0.8666,0.8339,0.0,0.7911,,merge (default)
pubmed:39160281,wos:WOS:001183972502306,WHITE MATTER BRAIN AGE IN DIVERSE FORMS OF EPILEPSY AND INTERICTAL PSYCHOSIS,WHITE MATTER BRAIN AGE IN DIVERSE FORMS OF EPILEPSY AND INTERICTAL PSYCHOSIS,SONE DAICHI; BEHESHTI IMAN; SHIGEMOTO YOKO; KIMURA YUKIO; SATO NORIKO; MATSUDA HIROSHI,"SONE, D ; BEHESHTI, I ; SHIGEMOTO, Y ; KIMURA, Y ; SATO, N ; MATSUDA, H",2024,2023,10.1038/S41598-024-70313-W,,1.0,0.8219,0.0,0.0,0.5556,,merge (default)
pubmed:18319201,psycinfo:2008-04800-005,PSYCHOGENIC NON EPILEPTIC SEIZURES PROSPECTIVE CLINICAL EXPERIENCE DIAGNOSIS CLINICAL FEATURES RISK FACTORS PSYCHIATRIC COMORBIDITY TREATMENT OUTCOME,PSYCHOGENIC NON EPILEPTIC SEIZURES PROSPECTIVE CLINICAL EXPERIENCE DIAGNOSIS CLINICAL FEATURES RISK FACTORS PSYCHIATRIC COMORBIDITY TREATMENT OUTCOME,HOVORKA JIRÍ; NEZÁDAL TOMÁS; HERMAN ERIK; NEMCOVÁ IVETA; BAJACEK MICHAL,"HOVORKA, JIŘÍ; NEŽÁDAL, TOMÁŠ; HERMAN, ERIK; NĚMCOVÁ, IVETA; BAJAČEK, MICHAL",2007,2007,10.1684/EPD.2008.0156,,1.0,0.8869,0.986,0.0,0.8567,,merge (default)
psycinfo:2023-21923-260,wos:PQDT:68232799,SCALABLE TOOLS FOR INFORMATION EXTRACTION AND CAUSAL MODELING OF NEURAL DATA,SCALABLE TOOLS FOR INFORMATION EXTRACTION AND CAUSAL MODELING OF NEURAL DATA,"NEJATBAKHSH, AMIN","NEJATBAKHSH, AMIN",2023,2022,,,1.0,1.0,0.0,0.0,0.0,,merge (default)
psycinfo:2016-26528-106,wos:PQDT:68880349,DEVELOPMENT OF A CLASSIFICATION OF CHILDREN WITH DEVELOPMENTAL COORDINATION DISORDERS BASED ON CLINICAL SUBGROUPS,DEVELOPMENT OF A CLASSIFICATION OF CHILDREN WITH DEVELOPMENTAL COORDINATION DISORDERS BASED ON CLINICAL SUBGROUPS,"HSU, LIN-YA","HSU, LIN-YA",2016,2015,,,1.0,1.0,0.0,0.0,0.0,,merge (default)
psycinfo:2014-99060-242,wos:PQDT:68948899,BIOMECHANICAL AND NEURAL FACTORS ASSOCIATED WITH GAIT DYSFUNCTION AND FREEZING IN PEOPLE WITH PARKINSON DISEASE,BIOMECHANICAL AND NEURAL FACTORS ASSOCIATED WITH GAIT DYSFUNCTION AND FREEZING IN PEOPLE WITH PARKINSON DISEASE,"PETERSON, DANIEL SOREN","PETERSON, DANIEL SOREN",2014,2013,,,1.0,1.0,0.0,0.0,0.0,,merge (default)
