source_db,source_id,doi,title,abstract,authors,journal,year,pub_date,keywords,mesh_terms,pub_types,url,volume,issue,pages,isbn,issn,retrieved_at
pubmed,42535812,10.4103/ijo.ijo_215_26,Effect of sellar and parasellar brain tumors on retinal thickness and visual fields: A cross-sectional comparative study.,"To compare retinal nerve fiber layer (RNFL) thickness, ganglion cell complex (GCC) thickness, and visual field parameters in patients with sellar and parasellar brain tumors and to evaluate their associations with tumor size. This hospital-based cross-sectional comparative study was conducted over 18 months at a tertiary care center. Patients aged 12-60 years with magnetic resonance imaging (MRI)-confirmed sellar or parasellar tumors underwent best-corrected visual acuity assessment, automated perimetry (Humphrey 30-2), and spectral-domain optical coherence tomography for RNFL and GCC analysis. Tumor size was recorded from MRI. Sixty-seven patients (31 sellar, 36 parasellar) were analyzed. Superior quadrant RNFL thickness in the right eye was significantly reduced in sellar tumors ( P = 0.029). Parasellar tumors were significantly larger in size ( P < 0.001). Tumor size showed significant associations with visual acuity and visual field indices in sellar tumors but not in parasellar tumors. Sellar tumors were associated with more consistent structural and functional visual impairment compared with parasellar tumors despite a smaller mean tumour size likely due to early chiasmal compression. RNFL thinning on optical coherence tomography may reflect early structural involvement of the optic pathway and may complement automated perimetry and neuroimaging in clinical evaluation.",Kasireddy Harika D; Sahu Vijaya; Sharma Anil; Kumar Aseem; Shrivastava Shivani,Indian journal of ophthalmology,2026,2026,Ganglion cell complex; optical coherence tomography; parasellar tumors; retinal nerve fiber layer; sellar tumors; visual fields,"Humans; Cross-Sectional Studies; Female; Visual Fields; Tomography, Optical Coherence; Middle Aged; Male; Adult; Child; Adolescent; Retinal Ganglion Cells; Young Adult; Magnetic Resonance Imaging; Visual Acuity; Pituitary Neoplasms; Sella Turcica; Nerve Fibers; Visual Field Tests; Brain Neoplasms",Journal Article; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/42535812/,74,8,1185,,1998-3689,2026-08-05T12:39:44.884291+00:00
pubmed,42522265,10.1093/stcltm/szag048,A Phase 1 clinical trial to evaluate the safety and tolerability of CLZ-2002 for the treatment of patients with Charcot-Marie-Tooth disease type 1.,"Charcot-Marie-Tooth disease type 1 (CMT1) is a rare, genetically diverse condition and represents the most prevalent form of inherited peripheral neuropathy, characterized by Schwann cell dysfunction resulting in progressive demyelination and muscle wasting. CLZ-2002, an allogeneic Schwann cell-like product derived from human tonsillar mesenchymal stem cells, has been developed as a regenerative therapy and investigated in CMT1 patients. A Phase 1, open-label, dose-escalation clinical trial was performed in nine patients with genetically diagnosed CMT1 (five with CMT1A, four with CMT1B). Participants were allocated to three dosing cohorts: 6 million (G1), 12 million (G2), or 24 million cells (G3). CLZ-2002 was delivered as a single intramuscular injection into the lower limbs. The primary objective was to assess safety and tolerability. Exploratory endpoints included Charcot-Marie-Tooth Neuropathy Score version 2 (CMTNSv2), Overall Neuropathy Limitation Score-leg (ONLS-leg), Functional Disability Score (FDS), electrophysiology, MRI, and circulating biomarkers. No drug-related adverse reactions, serious adverse events, or dose-limiting toxicities occurred. Four participants experienced a total of five grade 1-2 treatment-emergent adverse events. By Week 24, improvements relative to baseline were noted in CMTNSv2 and ONLS-leg. Biomarker levels of NCAM1 and GDF15 declined at Week 4 but returned toward baseline by Week 24, reflecting the observed clinical trends. A single intramuscular dose of CLZ-2002 of up to 24 million cells was safe and well-tolerated in CMT1 patients. Exploratory efficacy assessments suggested possible clinical benefit, warranting continued investigation of CLZ-2002 in larger, controlled study populations.",Kim Hyesun; Choi Byung-Ok; Lee Hyunju; Park Saeyoung; Lim Jaeseung; Jung Sung-Chul,Stem cells translational medicine,2026,2026,CMT1; Charcot–Marie–Tooth disease; Phase 1; Schwann cell; cellular therapy; clinical trial,Humans; Charcot-Marie-Tooth Disease; Female; Male; Adult; Middle Aged; Schwann Cells; Adolescent; Young Adult; Treatment Outcome; Mesenchymal Stem Cell Transplantation; Mesenchymal Stem Cells,"Journal Article; Clinical Trial, Phase I; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/42522265/,15,8,,,2157-6580,2026-08-05T12:39:44.884315+00:00
pubmed,42506308,10.3390/medsci14030338,Walking as a Window to the Brain: Redefining Gait in Neurology.,"Walking is not merely locomotion but a window into the nervous system, integrating cortical, subcortical, cerebellar, spinal, and peripheral networks into a unified motor behavior. Across neurological diseases-including Parkinson's disease, atypical parkinsonism, cerebellar ataxias, stroke, multiple sclerosis, neuropathies, neuromuscular disorders, and functional gait syndromes-gait disturbances are among the most disabling clinical features, contributing to falls, loss of independence, institutionalization, and premature mortality. Traditional bedside observation remains indispensable, but it lacks the sensitivity and reproducibility needed to capture subtle, episodic, or prodromal abnormalities. Over the past decade, advances in wearable sensors, marker-based and markerless motion capture, pressure-sensitive walkways, force plates, artificial intelligence, and machine learning have positioned digital mobility outcomes as promising, ecologically valid biomarkers of neurological function. These measures can support differential diagnosis, provide prognostic information on falls and survival, and serve as sensitive endpoints in therapeutic trials. They may also detect early abnormalities, such as increased stride-to-stride variability or prolonged double-support time, before overt clinical deterioration becomes evident. Clinical applications are increasingly evident across disorders, including distinguishing Parkinson's disease from atypical parkinsonism, quantifying treatment response in normal-pressure hydrocephalus, tracking progression in ataxia and multiple sclerosis, predicting functional decline in motor neuron disease, and guiding rehabilitation after stroke. Integration with neuroimaging, electrophysiology, and molecular biomarkers is beginning to reveal the circuits underlying variability, instability, and freezing, positioning gait as a systems-level marker of neural integrity. Nevertheless, methodological heterogeneity, limited disease-specific validation, insufficient longitudinal data, and lack of consensus on clinically meaningful parameters continue to constrain translation. Cognitive, affective, and environmental influences also remain insufficiently represented in digital frameworks, while equity, accessibility, algorithmic bias, and privacy require careful ethical governance. Reconceptualizing gait as a ""sixth vital sign"" reframes mobility as a multidimensional biomarker of neural and systemic health. With harmonized protocols, robust validation, multimodal integration, and appropriate ethical frameworks, gait analysis could become a cornerstone of precision neurology.",Ortega-Robles Emmanuel; Treviño Mario; Manjarrez Elías; Arias-Carrión Oscar,"Medical sciences (Basel, Switzerland)",2026,2026,digital biomarkers; gait analysis; mobility outcomes; neurological disorders; precision neurology; translational neuroscience,"Humans; Neurology; Gait; Walking; Brain; Gait Disorders, Neurologic; Nervous System Diseases",Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/42506308/,14,3,,,2076-3271,2026-08-05T12:39:44.884339+00:00
pubmed,42353872,10.3390/genes17060713,Neuropsychiatric Phenotype in a Patient with Neurodevelopmental Disorder with or Without Early-Onset Generalized Epilepsy (NEDEGE).,"We report the oldest female identified to date with a pathogenic NBEA variant who has been followed longitudinally. She presented with a complex, diagnostically inconclusive psychiatric phenotype extending in adulthood and a suspected mild neurodevelopmental impairment. The 64-year-old patient experienced recurrent episodes of mental state decompensation characterized predominantly by persecutory and health-related delusional ideation and anxiety. Her most recent psychiatric diagnosis was mixed conversion disorder. Although she never underwent formal cognitive testing, mild intellectual disability was suspected based on her educational attainment, occupational history, and social functioning. Additionally, the patient presented with a likely coincidental tremor. A history of childhood epilepsy could not be confirmed, as detailed epilepsy records were unavailable. Furthermore, the patient declined neuroimaging, precluding assessment of a possible relationship with the identified EXT2 deletion. This case expands the currently recognized neuropsychiatric spectrum possibly associated with pathogenic NBEA variants, highlights the importance of extending phenotypic characterization in later adulthood, and underscores the value of longitudinal follow-up.",Szczęśniak Dominika; Wilczek Anna; Mroczek Magdalena,Genes,2026,2026,NEDEGE; neurodevelopmental disorder with or without early-onset generalized epilepsy; neuropsychiatry; rare diseases,"Humans; Female; Phenotype; Neurodevelopmental Disorders; Epilepsy, Generalized; Middle Aged",Case Reports; Journal Article,https://pubmed.ncbi.nlm.nih.gov/42353872/,17,6,,,2073-4425,2026-08-05T12:39:44.884385+00:00
pubmed,42224091,10.1097/nrl.0000000000000671,Frequency of Abnormal Neurological Examinations in a Subspecialty Headache Clinic: A Retrospective Chart Review.,"Identify the frequency of abnormal neurological examinations among patients presenting in person for headache consultation. Determine what proportion of patients with abnormal examinations have accompanying red flags in their histories and/or undergo diagnostic workup. We conducted a retrospective review of patients presenting in person for headache consultation at a tertiary/quaternary headache clinic between June 2022 and May 2023. We excluded examination abnormalities consistent with known comorbidity, functional neurological disorder, and/or non-headache disease. We then calculated the proportion of patients with an abnormal neurological examination. For patients with abnormal examinations, the electronic medical record was further reviewed for red-flag components in the history, diagnostic workup ordered, and the resulting diagnosis. Of 1281 patients presenting for in-person headache consultation, 218 (17%) had abnormal neurological examinations that were not consistent with known comorbidity, functional neurological disorder, or non-headache disease. Of these, 203 (93%) had a red flag in their history. The remaining 15 patients with abnormal examinations and no historical red flags comprised 1.2% of all 1281 patients. Regarding workup, 160 (73%) had neuro-imaging and 61 (28%) had laboratory studies ordered and/or requested for review, of which 13% and 8% were concerning for pathology, respectively. A small but notable proportion of patients presenting for in-person headache consultation had abnormalities on neurological examination. The majority of these patients received imaging, with a diagnostic yield higher than previously reported. However, the vast majority of patients with abnormal examinations also had red flags in their history to prompt diagnostic workup.",Leung Sabrina W; Iverson Olivia C; Green A Laine,The neurologist,2026,2026,headache; headache red flags; neurological examination; telehealth; telemedicine,Humans; Retrospective Studies; Neurologic Examination; Headache; Female; Male; Middle Aged; Referral and Consultation; Nervous System Diseases; Adult,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42224091/,31,4,141,,2331-2637,2026-08-05T12:39:44.884406+00:00
pubmed,42217542,10.1016/j.brs.2026.103132,Transcranial direct current stimulation with motor-learning based gait therapy post-stroke: A randomized controlled trial.,"Persistent gait deficits after stroke are prevalent and negatively impact function. Motor learning methods promote neuroplasticity and can produce significant clinical gains, however recovery is limited for many individuals in the chronic phase. Transcranial direct current stimulation(tDCS) can enhance neuroplastic effects of training and can be easily paired with neurorehabilitation. We tested active vs. sham bihemispheric 2 mA tDCS targeting primary motor leg regions paired with gait therapy. Individuals(n = 44) were randomized to 10 sessions of active tDCS/sham tDCS paired with motor training. Outcomes were collected at baseline, mid-treatment, post-treatment and 6-week follow-up. TDCS-induced electric field(e-field) and lesion load were calculated using each participant's magnetic resonance imaging (MRI). Statistical methods included longitudinal linear mixed-effects model with treatment group by time interaction effects, Wilcoxon signed rank test and correlation analyses. Thirty-nine individuals completed the study. No difference was observed between treatment groups. Total cohort analysis showed significant improvement (p < 0.05) in the following: Fugl-Meyer, fastest gait speed, preferred gait speed, Timed Up and Go, Functional Gait Assessment, and Gait Assessment and Intervention Tool across time, with maintenance or improvement at 6-week follow-up. E-field in targeted region ranged 0.10-0.29 V/m. Lesion load did not correlate with change in clinical outcomes. Both groups improved across the clinical outcomes following short duration motor learning-based gait training with and without tDCS. Lesion load was not related to treatment response. E-field in targeted regions was variable across participants. Future studies employing optimized tDCS to ensure consistent dosing across subjects, paired with an effective gait training approach is needed.",Pundik Svetlana; Skelly Margaret; Salameh Ahlam; Leonhardt Lisa; Hardin Elizabeth C; Hisel Terri; Duncan Kelsey R; Zink Elizabeth; Carr Sarah J; Mosca Luke; Yaghmoor Bassam; Bikson Marom; Daly Janis J; McCabe Jessica,Brain stimulation,2026,2026,Brain stimulation; Electric field modeling; Gait; Lesion load; Motor learning; Rehabilitation; Stroke; Transcranial direct current stimulation; Virtual reality,"Humans; Transcranial Direct Current Stimulation; Female; Male; Stroke Rehabilitation; Stroke; Middle Aged; Aged; Learning; Gait Disorders, Neurologic; Treatment Outcome; Adult; Gait",Journal Article; Randomized Controlled Trial,https://pubmed.ncbi.nlm.nih.gov/42217542/,19,4,103132,,1876-4754,2026-08-05T12:39:44.884429+00:00
pubmed,42208389,10.1016/j.yebeh.2026.111140,Nurse led first seizure clinics-a dangerous experiment or an effective alternative to the norm?,"In the United Kingdom (UK), people experiencing a suspected first seizure should be seen by a clinician with expertise in epilepsy within two weeks. First seizure clinics (FSC) aim to fast-track people outside the standard neurology outpatient system. Despite this, little over one in ten are seen within this timeframe. Most clinics are led by a consultant neurologist. There is a need to increase FSC provision utilising alternative expertise. A consultant nurse for the epilepsies led an innovative FSC, initially alongside a senior clinical fellow. Most patients were offered an electroencephalogram (EEG) (reported contemporaneously) at the FSC and there was provision for phlebotomy, electrocardiogram (ECG) and an urgent (same day) magnetic resonance imaging (MRI). In this prospective cohort study, we report 12-month clinical outcomes of our first 200 adult patients. 183/200 (91.5%) attended. 53 (26.5%) were seen within two weeks. 92% were given a diagnosis at FSC. 51 (25.5%) had epilepsy. 60 (30%) had an isolated seizure, 35% of which were provoked. 29 (14.5%) had functional dissociative seizures (FDS). 85/111 (76.5%) patients who had experienced at least one seizure were seizure-free at 12 months. Of 33 patients with FDS, 18 (55%) were seizure-free at 12 months. We present evidence that alternative methods of providing first seizure review can deliver timely, positive outcomes for patients. However, there must be robust governance arrangements in place involving a consultant neurologist. Many epilepsy specialist nurses will not have the experience, post registration qualifications, renumeration or willingness to undertake FSC. Therefore, there are limitations to the generalisability of these results.",Tittensor Phil; Siddiqui Shoaib; Charles Rosie; Russell Daniel; Schnabel Elizabeth; Smyth Conor; Rowe Jacqui-Dawn; Ball Toni; Johnson Hannah; Coope Louise; Maruta Daphine; Brough Jill; Manfredonia Francesco,Epilepsy & behavior : E&B,2026,2026,Diagnosis; Electroencephalograph (EEG); Epilepsy; First seizure; First seizure clinic; Functional dissociative seizures; Nurse,Humans; Female; Male; Seizures; Adult; Middle Aged; Prospective Studies; Electroencephalography; Young Adult; Aged; Cohort Studies; Ambulatory Care Facilities,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42208389/,182,,111140,,1525-5069,2026-08-05T12:39:44.884486+00:00
pubmed,42200986,10.3390/japma116030023,Osteochondroma of the Sesamoid Bone: A Case Report.,"Osteochondromas are the most common benign bone tumors; however, they are rarely found in the foot. To date, only three cases involving the sesamoid bone have been reported in the literature. We report the case of a 14-year-old female who presented with a 1.5-year history of foot pain and impaired gait. Clinical evaluation and imaging-including plain radiography and magnetic resonance imaging-identified a lesion in the medial sesamoid bone. The diagnosis of osteochondroma was confirmed histologically, and the lesion was excised with preservation of the sesamoid bone. Postoperatively, the patient's pain resolved completely, and her gait returned to normal within two months. We recommend surgical excision of symptomatic osteochondromas of the sesamoid bone to alleviate pain and restore functional gait.",Karahan Mustafa; Unal Zilcioglu Damla; Karahan Huseyin,Journal of the American Podiatric Medical Association,2026,2026,bones; margins; osteochondroma; sesamoid; surgical,Humans; Female; Osteochondroma; Sesamoid Bones; Bone Neoplasms; Adolescent; Magnetic Resonance Imaging,Case Reports; Journal Article,https://pubmed.ncbi.nlm.nih.gov/42200986/,116,3,,,1930-8264,2026-08-05T12:39:44.884500+00:00
pubmed,42162424,10.1038/s41586-026-10535-2,A deep-learning framework reveals whole-body perturbations at cell level.,"Many diseases, including obesity, have systemic effects that perturb multiple organ systems throughout the body1,2. However, tools for comprehensive, high-resolution analysis of disease-associated changes at the whole-body scale have been lacking. Here we developed MouseMapper, a suite of foundation-model-based deep-learning algorithms enabling multi-system analysis of disease across the entire mouse body. MouseMapper enables whole-body quantitative analysis of nerves and immune cells, resolving fine axonal branches and immune-cell clusters while automatically segmenting 31 organs and tissues. We used MouseMapper to study diet-induced obesity, and identified structural alterations of the infraorbital branch of the trigeminal ganglia. This structural impairment in infraorbital nerves was associated with functional sensory deficits in whisker sensing. Furthermore, we identified proteomic changes in the trigeminal ganglion affecting axon remodelling and complement pathways both in mice and humans. MouseMapper also generated detailed three-dimensional inflammation maps by characterizing immune cell cluster compositions across tissues. The MouseMapper framework demonstrates robust generalizability across different imaging resolutions and datasets. Our study provides a powerful, scalable approach for identifying and quantifying systemic pathologies, bridging molecular insights from animal models to human conditions.",Kaltenecker Doris; Horvath Izabela; Al-Maskari Rami; Chen Ying; Kolabas Zeynep Ilgin; Hoeher Luciano; Todorov Mihail; Minde David-Paul; Kapoor Saketh; Turhan Sena Gül; Kuemmerle Louis B; Steinke Hanno; Wohlgemuth Tim; Ali Mayar; Kofler Florian; Morigny Pauline; Geppert Julia; Jeridi Denise; Wittmann Bastian; Luo Jie; Shit Suprosanna; Cigankova Carolina; Kolenic Victor Miro; Gür Nilsu; Aydeniz Eren; Yücecan Alara; Ertürk Melissa; Simons Laurent H A; Pan Chenchen; Piraud Marie; Rueckert Daniel; Rohm Maria; Hellal Farida; Elsner Markus; Bhatia Harsharan Singh; Bechmann Ingo; Menze Bjoern H; Herzig Stephan; Paetzold Johannes Christian; Diaz Mauricio Berriel; Ertürk Ali,Nature,2026,2026,,"Animals; Female; Humans; Male; Mice; Axons; Deep Learning; Diet; Inflammation; Mice, Inbred C57BL; Obesity; Proteomics; Trigeminal Ganglion; Vibrissae; Neuroimaging; Imaging, Three-Dimensional; Immune System",Journal Article,https://pubmed.ncbi.nlm.nih.gov/42162424/,655,8124,1016,,1476-4687,2026-08-05T12:39:44.884528+00:00
pubmed,42096799,10.1016/j.nicl.2026.103996,Relationships between brain functional connectivity and resting cardiac autonomic profiles in functional neurological disorder: A pilot study.,"Functional neurological disorder (FND) is associated with alterations in functional brain networks, yet relationships between peripheral autonomic physiology and brain architecture remain poorly characterized. This pilot study examined associations between cardiac autonomic metrics and resting-state functional connectivity (rsFC) in FND. Twenty females with FND and 23 age-matched female psychiatric controls (PCs) completed questionnaires, 10-min resting photoplethysmography recordings, and same-day resting-state fMRI. Interbeat interval (IBI) and heart rate variability (HRV) metrics were extracted. Whole-brain rsFC was quantified using weighted-degree [centrality]. Within-group analyses tested associations between cardiac autonomic metrics and weighted-degree rsFC separately in FND and PC cohorts, adjusting for age, head motion, and antidepressant/β-blocker use - while applying a cluster-wise correction. Cardiac (IBI and HRV) metrics did not differ between FND and PC cohorts, and these metrics did not correlate with FND symptom severity, somatic symptom burden, affective symptoms, or childhood trauma. In FND, shorter IBI (i.e., faster resting heart rate) correlated with higher weighted-degree rsFC in bilateral supplementary motor area (SMA) and right precentral/superior frontal regions, whereas lower HRV primarily correlated with higher weighted-degree rsFC in the bilateral SMA, mid-cingulate cortex, and right amygdala, anterior insula, and lateral orbitofrontal cortex. In PCs, autonomic-rsFC associations were more spatially restricted to the bilateral anterior/mid-cingulate and SMA. In FND, individual differences in resting autonomic physiology related to the centrality of brain areas that are part of the central autonomic, salience, and allostatic-interoceptive networks. These findings suggest that the relationship between autonomic physiology and network architecture may be important in FND.",Bleier Cristina; Guthrie Andrew J; Ranford Jessica; MacLean Julie; Godena Ellen; Maggio Julie; Finkelstein Sara A; Diez Ibai; Westlin Christiana; Quigley Karen S; Perez David L,NeuroImage. Clinical,2026,2026,Central autonomic network; Functional neurological disorder; Heart rate; Heart rate variability; Interbeat interval; fMRI,Humans; Female; Pilot Projects; Magnetic Resonance Imaging; Adult; Autonomic Nervous System; Heart Rate; Brain; Nervous System Diseases; Middle Aged; Young Adult; Rest; Nerve Net,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42096799/,50,,103996,,2213-1582,2026-08-05T12:39:44.884552+00:00
